,Clusters,lambda,Error,Validation Error,Test Error
20,200,0.01,1.9013040128753353,1.9965582216927813,1.9047855943641792
19,190,0.01,1.904933411245413,1.9990574601548905,1.908742610287438
18,180,0.01,1.906872845452907,1.9994072596187717,1.9109215864242062
17,170,0.01,1.916154510430869,2.007065870193715,1.9205837284324376
16,160,0.01,1.9265592590375111,2.0159961584465105,1.9311538203795762
15,150,0.01,1.9302997356656442,2.0180224815620895,1.9349581438459835
14,140,0.01,1.9375227080645196,2.0243663559012783,1.9419687597494328
13,130,0.01,1.9407030446868847,2.0276276788723373,1.9441782128785356
12,120,0.01,1.9444612060966098,2.029445706344641,1.9482111757808627
11,110,0.01,1.9520705819638575,2.036540981823895,1.9539944374988065
41,200,0.1,1.962060728836923,2.05054251081464,1.9677217440093602
40,190,0.1,1.9628405924650931,2.0507281790554375,1.9683497373053203
10,100,0.01,1.9657995738554441,2.052185430066771,1.9633467649886172
39,180,0.1,1.9672157993469883,2.0544837622001575,1.9707069524789105
38,170,0.1,1.968525705394771,2.0553666831444413,1.9722794262881145
37,160,0.1,1.972811547800804,2.0597380587608893,1.9752981791987154
36,150,0.1,1.9788302588707727,2.0654010511649856,1.9792591279469887
9,90,0.01,1.9788002316354698,2.0677795326762323,1.9741719528148556
35,140,0.1,1.985084254001922,2.07219536962353,1.9839414862456093
8,80,0.01,1.9865414427671721,2.0763783952748778,1.9805297211340929
34,130,0.1,1.9925257515235395,2.0810085773856106,1.9903113182833267
33,120,0.1,1.9951683081348859,2.0836537374230644,1.9924948846609418
32,110,0.1,2.0031750896160516,2.0919647700075865,1.9994446336731906
7,70,0.01,2.001804145264315,2.0930367325630432,1.9945992910219525
62,200,1.0,2.002472225360928,2.093278632064426,2.005613898269295
61,190,1.0,2.004908141293971,2.0952494782016178,2.0074060258631414
60,180,1.0,2.0123441287028876,2.10271669626314,2.012672705858552
59,170,1.0,2.0126733544937006,2.1028636003230066,2.0130321985341673
31,100,0.1,2.0137301386333095,2.1042485886523377,2.009165415839354
6,60,0.01,2.0127438131309723,2.1060296877065836,2.0060382545649342
58,160,1.0,2.0170835408797454,2.107417746097542,2.0163022107785626
30,90,0.1,2.0189144630928357,2.11041569332319,2.013943567663739
5,50,0.01,2.019293454301867,2.1109584491061355,2.012687485325462
57,150,1.0,2.0219095527066218,2.1111623998074904,2.019787734710762
29,80,0.1,2.02141656161562,2.112818853455115,2.0161773586745046
56,140,1.0,2.024598096073979,2.114080050700115,2.0217927425873485
55,130,1.0,2.0271816681610786,2.116753952959386,2.0240114786746486
28,70,0.1,2.0269673180441083,2.1170418760272907,2.021370192607123
54,120,1.0,2.028132291703556,2.117101931802993,2.02454917576138
53,110,1.0,2.0305142945176877,2.118772241338402,2.026331427615884
4,40,0.01,2.027809669116584,2.119030276037759,2.0214264907123654
27,60,0.1,2.031741242514759,2.1196704746449706,2.0253833560077252
83,200,5.0,2.0294829386879862,2.1202877099834083,2.029880214004631
26,50,0.1,2.0349843157698917,2.1204735585872103,2.028095624602797
52,100,1.0,2.0333444909865634,2.1208432116095404,2.0283958205368857
82,190,5.0,2.03088252420988,2.121114413960239,2.030667893842159
3,30,0.01,2.0386896354314863,2.1217520183777685,2.0316267933378205
51,90,1.0,2.0347234527054594,2.121789529309229,2.029382051878579
50,80,1.0,2.0355520419649658,2.1221569359542887,2.0299470664620425
25,40,0.1,2.038216590692662,2.122599753939969,2.0312974332253564
49,70,1.0,2.0377607231134003,2.122950160400102,2.031379216874867
48,60,1.0,2.0398967179799716,2.1237810951264837,2.0326886411706897
47,50,1.0,2.040650237620961,2.1240402191959724,2.0333684330432895
24,30,0.1,2.0407073441201486,2.1243119248980054,2.0348359072417814
80,170,5.0,2.034816904454353,2.1246981073923137,2.033194004803675
81,180,5.0,2.0346465663258404,2.124721018591251,2.0331517668576504
2,20,0.01,2.040534118150995,2.1248516521819094,2.0345970694773974
46,40,1.0,2.0411320842803495,2.1250315161996873,2.0347523043480003
79,160,5.0,2.036393437665862,2.1258668136139796,2.034009381281009
78,150,5.0,2.0383970343172213,2.1260702765268884,2.0348263133517985
69,60,5.0,2.043503646850651,2.1265424440295106,2.0346418157632042
68,50,5.0,2.0434753932346243,2.1265755556867707,2.0350705849529667
70,70,5.0,2.042881770343195,2.1269211064613875,2.034795317089542
67,40,5.0,2.0426758886948226,2.126939121173532,2.0368071969468993
88,40,10.0,2.043198190319128,2.127184687124027,2.037571699071252
75,120,5.0,2.0397468100032254,2.127282224583124,2.0351786119513253
71,80,5.0,2.0417267186428636,2.1273483982733867,2.034879943987992
76,130,5.0,2.03945016741907,2.127360064876201,2.0351836986203358
72,90,5.0,2.041338906987061,2.127363401815019,2.034771869067689
74,110,5.0,2.0402032336005336,2.1274162209673024,2.035144304875393
77,140,5.0,2.038843240593812,2.127482621999155,2.035137632422306
73,100,5.0,2.0409969059889512,2.1275625553236233,2.035020472609189
89,50,10.0,2.045031942154254,2.127602051822389,2.0359380895483192
90,60,10.0,2.0458314485796767,2.128136591762726,2.0357483265591148
45,30,1.0,2.043241557601245,2.128666403710399,2.0409984152822345
23,20,0.1,2.042965982089253,2.1287093545663796,2.0405632776090252
104,200,10.0,2.038663641857883,2.1288367961195167,2.037780143274503
91,70,10.0,2.046150652471692,2.128933000681227,2.0361657793812666
103,190,10.0,2.0396351991925012,2.1292841858584577,2.0382228199453336
92,80,10.0,2.0448146597907058,2.1295192243951195,2.036391489188725
93,90,10.0,2.044402716704863,2.129674129804945,2.0363537454402048
94,100,10.0,2.0441501613384583,2.130506591111139,2.037075952730457
66,30,5.0,2.0459336271991733,2.131067720141479,2.045528943850735
95,110,10.0,2.043755309561768,2.1312634474669045,2.037966899351753
99,150,10.0,2.0438601104236547,2.131513670836284,2.039678140510272
87,30,10.0,2.0470238580569493,2.131565272836097,2.047387151466946
96,120,10.0,2.0437877456169216,2.1316591343142566,2.038595455562766
97,130,10.0,2.0437459069086663,2.131835061712704,2.038831875533788
101,170,10.0,2.0421589152562967,2.1318940252429712,2.0397079397705133
102,180,10.0,2.0423000191344074,2.1323550610558173,2.04002673622886
100,160,10.0,2.043027181587559,2.1326463920325205,2.040031952801096
98,140,10.0,2.043706470213668,2.1329341982395382,2.03957304107955
1,10,0.01,2.048916763398482,2.1338862431812444,2.0488897345024295
44,20,1.0,2.0489561124121916,2.1344627150439948,2.049975203715108
65,20,5.0,2.05120530926065,2.1357777313071997,2.0532149421869024
22,10,0.1,2.0527578256705943,2.1361376491337665,2.0533302193310257
86,20,10.0,2.0522043812261637,2.136331939071667,2.055106929316839
43,10,1.0,2.0534288284794155,2.136555188175143,2.0539522983865233
64,10,5.0,2.053659403966675,2.136758159744219,2.053833857708253
85,10,10.0,2.053978747625247,2.1370197283803867,2.053884769929952
0,1,0.01,2.379607732108335,2.4572430339664466,2.3579952017622143
21,1,0.1,2.466528976257314,2.5409839215682237,2.4434734333181996
42,1,1.0,2.4773613456172687,2.5513286481081967,2.4542206435334424
84,1,10.0,2.478585014325009,2.5516690303350447,2.4560467901867127
63,1,5.0,2.4783747800378166,2.5519316127550877,2.4554952778159147
